id,Date,APPLICATION,OFFERED,ANSWERED,AVG ANS DELAY,AVG ANS DELAY SECONDS,MAX ANS DELAY,ABANDONED,DelayCallsProduct
20150525-ccc_priority_script,2015/05/25,ccc_priority_script,35,34,0:00:20,20,,1,680
20150525-ccc_tax_script,2015/05/25,ccc_tax_script,29,29,0:06:07,367,,0,10643
20150526-ccc_311_calgary_combined,2015/05/26,ccc_311_calgary_combined,4346,3347,0:03:59,239,,999,799933
20150526-ccc_help_script,2015/05/26,ccc_help_script,22,17,0:00:13,13,,5,221
20150526-ccc_priority_script,2015/05/26,ccc_priority_script,42,37,0:00:17,17,,5,629
20150526-ccc_tax_script,2015/05/26,ccc_tax_script,24,21,0:05:10,310,,3,6510
20150527-ccc_311_calgary_combined,2015/05/27,ccc_311_calgary_combined,4737,2888,0:07:40,460,,1848,1328480
20150527-ccc_help_script,2015/05/27,ccc_help_script,9,6,0:00:10,10,,3,60
20150527-ccc_priority_script,2015/05/27,ccc_priority_script,29,29,0:00:17,17,,0,493
20150527-ccc_tax_script,2015/05/27,ccc_tax_script,21,14,0:07:11,431,,7,6034
20150528-ccc_311_calgary_combined,2015/05/28,ccc_311_calgary_combined,5202,2931,0:08:31,511,,2271,1497741
20150528-ccc_help_script,2015/05/28,ccc_help_script,14,10,0:00:12,12,,4,120
20150528-ccc_priority_script,2015/05/28,ccc_priority_script,25,25,0:00:13,13,,0,325
20150528-ccc_tax_script,2015/05/28,ccc_tax_script,24,16,0:07:12,432,,8,6912
20150529-ccc_311_calgary_combined,2015/05/29,ccc_311_calgary_combined,5540,3514,0:07:43,463,,2026,1626982
20150529-ccc_help_script,2015/05/29,ccc_help_script,6,6,0:00:14,14,,0,84
20150529-ccc_priority_script,2015/05/29,ccc_priority_script,23,22,0:00:14,14,,1,308
20150529-ccc_tax_script,2015/05/29,ccc_tax_script,17,12,0:09:21,561,,5,6732
20150530-ccc_311_calgary_combined,2015/05/30,ccc_311_calgary_combined,1862,1787,0:00:24,24,,75,42888
20150530-ccc_help_script,2015/05/30,ccc_help_script,2,2,0:00:10,10,,0,20
20150530-ccc_priority_script,2015/05/30,ccc_priority_script,18,17,0:00:12,12,,1,204
20150531-ccc_311_calgary_combined,2015/05/31,ccc_311_calgary_combined,1532,1436,0:00:43,43,,96,61748
20150531-ccc_help_script,2015/05/31,ccc_help_script,3,3,0:00:04,4,,0,12
20150531-ccc_priority_script,2015/05/31,ccc_priority_script,23,20,0:00:15,15,,3,300
20150601-ccc_311_calgary_combined,2015/06/01,ccc_311_calgary_combined,6235,3974,0:07:01,421,,2261,1673054
20150601-ccc_help_script,2015/06/01,ccc_help_script,5,4,0:00:03,3,,1,12
20150601-ccc_priority_script,2015/06/01,ccc_priority_script,28,28,0:00:35,35,,0,980
20150601-ccc_tax_script,2015/06/01,ccc_tax_script,18,11,0:11:14,674,,7,7414
